店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
孟.小成米线(中原万达店),156617436,过桥米线,,0,,5,13,8.9,中原万达,165,34.745019,113.60125,中原区万达金街3号门往南30米路东,,,,8.9元特价原味米线A，10.8元鸡丁米线A，12.8元鸡丁米线;18代20元;,周一至周日 09:00-22:00  非营业时段 2018-02-13至2018-02-20 全天,15736797003,63141,,,False,1,309,63141,True,False
土大力烤肉名家(太康路店),6983005,韩式烤肉,土大力,364066,http://p1.meituan.net/poi/5acff4d45a5c36bd7fc80e649981eb1112374.png,4.6,51,85,大上海城,168,34.755897,113.669047,管城回族区东太康路28号（大上海城2层）,3,"1353,1354,",,双人餐128元起，双人餐128元起;85代100元;,周一至周日 11:00-00:00,0371-55197399,63050,1987年创立于韩国仁川的土大力1995年正式登陆中国，在短暂的时间内，土大力以其独具特色的美味，迅速赢得了当地人的喜爱，并以“协同合作、互利互惠”的精神理念，在竞争激烈的餐饮业中脱颖而出，风靡韩国。通过健康营养的新鲜美味，轻松别致的就餐环境，成为当地连锁品牌中的佼佼者。在韩国已拥有2000多家连锁店，310家“KHAN”店铺。目前“土大力”已经向全球迈进，先后在中国、泰国、印尼、越南成立合资公司。 1995年，土大力进驻中国，成立中韩合资公司，总部坐落于海滨城市青岛，在青岛国家高新地区设立了占地为20059平方米，建筑面积5538平方米的数字现代化中央厨房。并在全国各地成立郑州营运中心、济南分公司、合肥分公司、南京分公司、京津合资公司、西安支社、石家庄分公司、广州支社、福州支社、苏州支社、山西支社等多家分公司和支社。如今土大力餐饮集团在全国已有近百家连锁店，我们愿意与全球各地的人分享来自土大力的美食成功。 每一位来到土大力的顾客，都会带给你宛如家人般的温暖。在您享受独特美味的同时，提供给您贴心的服务，为您营造快乐休闲的就餐环境。,,False,1,178,63050,True,False
韩风源自助烤肉(国贸精品直营店),157740239,烤肉自助,韩风源烧烤涮自助餐厅,1146928,http://p1.meituan.net/poi/d563c2fb0ed75275713142adac9ff85215711.png,5,69,1,国贸360,166,34.783569,113.680612,金水区花园路与丰产路交叉口向西50米路南（新世纪大厦停车场、关虎屯丹尼斯生活停车场下车步行即到）,,"4527,",,单人午/晚餐1元，单人午/晚餐59.9元，单人午餐69.9元，单人晚餐72.9元，单人午/晚餐72.9元;,"周一至周五 11:30-14:30 18:00-21:30  周六,周日 11:00-22:00",0371-87555777,62809,,,False,0,871,62809,True,False
永和铂爵国际酒店·威斯蒂娜西餐厅,2188630,西餐自助,永和铂爵国际酒店,691149,,5,287,228,郑东新区东建材,166,34.763138,113.749453,金水区金水东路21号（金水东路与黄河南路交叉口向东200米路南）,,"1359,1360,",免费提供200个停车位,单人午餐228元，单人晚餐308元，[4]人午餐898元，[4]人晚餐1218元，[8]人午餐1788元，[8]人晚餐2418元;,周一至周日 11:30-14:30 17:30-21:30,0371-68663136,62696,一座酒店，一座城 远离喧嚣又不失繁华 河南永和铂爵国际酒店是一家位于郑东新区CBD的白金五星级酒店，紧邻省政府，毗邻郑州国际会展中心、河南省艺术中心，地理位置得天独厚，交通四通八达。 酒店拥有360间豪华舒适的各类客房及套房；9个华贵典雅的多功能厅，配备高端会议设施，为各类会议提供全方位的周到服务。风格迥异的威斯蒂娜西餐厅及轩粤中餐厅可满足不同口味美食爱好者的多种需求。在您一天的忙碌工作之后，雅致的雪茄吧和国际化管理的水疗健身中心，让您找到属于自已的平和、陶醉和舒适享受。 酒店优质地融合了亚洲待客之道中的体贴、热情和真诚，以极其专业的高服务水准营造充满温馨舒适的入住环境，每个细微之处都为满足客人商务、休息或玩乐的需要而精心设计，您将在这里感受热情而优雅的尊崇服务！,,False,0,138,62696,True,False
七德胜晋面传奇,5507922,面条,,0,,4.1,20,12.9,郑州大学,167,34.746993,113.633248,二七区中原路102号,,"1350,1351,",,单人餐12.9元，1-2人餐48元;18代20元;,周一至周日 10:30-22:00,0371-55916991,62673,,,False,1,162,62673,True,False
帝王肉蟹煲(大上海城店),75527203,肉蟹煲,,0,,4,49,108,大上海城,168,34.756528,113.669013,管城回族区东太康路28号大上海城2层,2,"1354,1353,",,双人餐108元起，双人餐108元起，3-4人餐158元，3-4人餐158元，3-4人餐158元，3-4人餐168元，3-4人餐178元;,周一至周日 10:00-21:30,0371-66039099,62545,,,False,0,413,62545,True,False
爱斯米牛排自助(中原万达店),96307403,综合自助,,0,,4.8,74,67.9,中原万达,165,34.746875,113.600468,中原区中原路与秦岭路交叉口万达广场三楼（麦噶ktv扶梯入口处，大玩家超乐场对面）,3,,,单人午/晚餐67.9元起;,周一至周日 11:00-21:00,0371-86550700,62394,,,False,0,706,62394,True,False
韩风源自助烤肉(电厂路店),114885847,烤肉自助,韩风源烧烤涮自助餐厅,1146928,http://p1.meituan.net/poi/d563c2fb0ed75275713142adac9ff85215711.png,5,61,1,华强城市广场,165,34.793169,113.604449,中原区电厂路华强城市广场建设银行二楼,2,,,单人午/晚餐1元，单人午/晚餐51.9元，单人午餐56.9元，单人晚餐63.9元;39.9代69元;,周一至周日 11:30-14:30 18:00-21:30  2019-02-03至2019-02-09 休息,0371-63687968,62368,,,False,0,709,62368,True,False
韩风源自助烤肉(西元国际店),94061387,烤肉自助,韩风源烧烤涮自助餐厅,1146928,http://p1.meituan.net/poi/d563c2fb0ed75275713142adac9ff85215711.png,5,59,1,西元国际广场,165,34.757871,113.600706,中原区秦岭路与建设路交叉口西元国际广场4楼,4,"1347,",,单人午/晚餐1元，单人午/晚餐51.9元，单人午餐56.9元，单人晚餐63.9元;39.9代69元;,周一至周日 11:30-14:30 18:00-21:30,0371-86587892,61777,,,False,0,358,61777,False,False
香可利(正道易生活店),51744171,蛋糕,,0,,5,14,1.9,高新区,7397,34.821228,113.56008,高新区银屏路与银杏路交叉口东北角正道易生活一楼,1,,,1.9元老婆饼1个，2.9元蛋挞1个，108元蛋糕4选1，118元蛋糕3选1，136元蛋糕3选1，146元蛋糕4选1，156元蛋糕3选1，168元蛋糕2选1;118代139元;,周一至周日 07:30-21:00  2019-02-01至2019-02-12 休息,0371-63223893,61508,,,False,0,99,61508,False,False
炉鱼(大卫城店),40568561,烤鱼,,0,,4.7,57,95,丹尼斯·大卫城,166,34.757399,113.666156,金水区二七路150号大卫城11层,11,"1353,1354,",,双人餐152元，2-3人餐168元，2-3人餐178元，4人餐246元;95代100元;,周一至周日 11:00-14:00 17:00-21:00,0371-56071888,61155,,,False,0,231,61155,True,False
土大力烤肉名家(曼哈顿店),2187397,韩式烤肉,土大力,364066,http://p1.meituan.net/poi/5acff4d45a5c36bd7fc80e649981eb1112374.png,4.6,56,19,曼哈顿广场,166,34.761132,113.708686,金水区金水路与未来路交叉口曼哈顿商业广场F区奥斯卡影院楼下1层,1,"1356,1357,",,单人餐19元起，双人餐128元起，双人餐128元起，2-3人餐218元，3-4人餐358元;85代100元;,周一至周日 11:00-05:00,0371-86030609,61039,1987年创立于韩国仁川的土大力1995年正式登陆中国，在短暂的时间内，土大力以其独具特色的美味，迅速赢得了当地人的喜爱，并以“协同合作、互利互惠”的精神理念，在竞争激烈的餐饮业中脱颖而出，风靡韩国。通过健康营养的新鲜美味，轻松别致的就餐环境，成为当地连锁品牌中的佼佼者。在韩国已拥有2000多家连锁店，310家“KHAN”店铺。目前“土大力”已经向全球迈进，先后在中国、泰国、印尼、越南成立合资公司。 1995年，土大力进驻中国，成立中韩合资公司，总部坐落于海滨城市青岛，在青岛国家高新地区设立了占地为20059平方米，建筑面积5538平方米的数字现代化中央厨房。并在全国各地成立郑州营运中心、济南分公司、合肥分公司、南京分公司、京津合资公司、西安支社、石家庄分公司、广州支社、福州支社、苏州支社、山西支社等多家分公司和支社。如今土大力餐饮集团在全国已有近百家连锁店，我们愿意与全球各地的人分享来自土大力的美食成功。 每一位来到土大力的顾客，都会带给你宛如家人般的温暖。在您享受独特美味的同时，提供给您贴心的服务，为您营造快乐休闲的就餐环境。,,False,1,178,61039,True,False
董公馆海鲜烧烤涮自助餐厅,94648155,综合自助,,0,,4.1,45,45.9,丰业广场/千盛广场,166,34.785762,113.651585,金水区农业路与天明路交叉口南100米路西,,,停车位收费标准：免费停车,单人午/晚餐45.9元，单人午餐49.9元，单人午/晚餐54.9元，双人午/晚餐108.6元，[4]人午/晚餐218元，[6]人午/晚餐327元;,周一至周日 11:30-14:00 17:30-22:30  2019-02-01至2019-02-08 休息,0371-61296333,60912,,,False,0,135,60912,True,False
汉拿山(郑州二七万达店),2514704,韩式烤肉,汉拿山,25856,http://p0.meituan.net/poi/2c0577def9e51d5dbb131e5d8fcf419a54667.png,3.8,83,95,二七万达,167,34.717763,113.642886,二七区大学路与航海路交叉口二七万达广场三楼,3,,,2-3人餐248元;95代100元;,周一至周日 10:00-21:30,0371-55156798,59764,汉拿山是以经营韩式烤肉为主的连锁企业。自开业十多年来，通过不断努力和改善，得到了广大消费者的认可和支持。目前，“汉拿山”韩式烤肉连锁企业在全国有140多家直营店，分布在北京、上海、天津、深圳、广州、沈阳、西安、大连等40多个城市，深受大众欢迎。,,False,1,114,59764,True,False
老狼大盘鸡(纬四路店),2477052,新疆菜,老狼大盘鸡,929289,http://p0.meituan.net/poi/580dc8623c6d7785f527c999dc1d1f4e17075.png,4.3,24,45,曼哈顿广场,166,34.76999,113.698059,金水区经一路与纬四路交叉口向东20米路南,,"1356,",,2-3人餐66元，2-3人餐66元，4人餐86元起，5-6人餐126元;45代50元;,周一至周日 10:00-14:30 17:00-22:30,18703850672,58795,老狼大盘鸡饭店源于新疆库尔勒老狼辣子鸡演变而成，采用上等三黄鸡和十多种大料，另配有多种清热去火名贵药材小火煨制而成，味型独特，香辣味浓，麻的过瘾，辣的享受，选料精细，配方讲究，中药配比，不易上火，老少皆宜。,,False,1,23,58795,True,False
滇城小镇过桥米线(二七万达总店),4003654,过桥米线,,0,,4.1,15,11.9,二七万达,167,34.718381,113.642084,二七区万达金街北段3号门北80米路西,1,,,11.9元单人套餐，13.9元美味单人餐，15.9元经典单人餐，18.8元美味单人餐，36.9元双人餐;17.9代20元;,周一至周日 10:00-22:00,15290581340,58753,滇城小镇过桥米线位于二七万达金街，地理位置优越，环境优美,,False,1,118,58753,True,False
西贝三宝(农科路店),42740341,中式烧烤,,0,,5,58,9.9,农科路酒吧街,166,34.792489,113.687562,金水区农科路与政七街交叉口西北角,,"4527,4516,",,单人餐9.9元;88代100元;,周一至周日 10:30-03:00,0371-55637966,58662,,,False,1,322,58662,True,False
舟友沸腾渔港(大商新玛特店),6855511,四川火锅,舟友烤鱼,1597664,http://p0.meituan.net/poi/090656b2ce8112074ab54f765963ee7b5252.png,3.8,66,75,国贸360,166,34.78539,113.68067,金水区花园路38号大商新玛特7层,7,"4527,",,双人餐86元起，4人餐128元起;75代100元，88代100元;,周一至周日 11:00-14:00 17:00-21:00  2019-02-01至2019-02-10 休息 2019-02-14 休息,0371-67558166,58556,舟友烤鱼是一家大型的餐饮连锁企业，郑州首家店位于国贸大商新玛特7楼。烤鱼，一种发源于重庆万州的特色美食，在流传过程中，融合腌、烤、炖三种烹饪工艺技术，充分借鉴传统川菜及川味火锅用料特点，是口味奇绝、营养丰富的风味小吃,,False,0,131,58556,True,False
韩遇·幸福里(大上海城店),5824226,韩式火锅,,0,,4.2,48,93,大上海城,168,34.756797,113.668153,管城回族区东太康路28号大上海城2楼步行街中段（黄记煌对面）,2,"1353,1354,",,双人餐93元起，双人餐93元起，双人餐93元起，2-3人餐113元，3人餐123元;,周一至周日 11:30-22:00,0371-56787732,58469,,,False,0,117,58469,True,False
王婆大虾(美景天城店),3315516,虾蟹火锅,王婆大虾,796533,http://p1.meituan.net/poi/f6e746a648faa1a04ea79f0bc9058ede56012.png,4.2,49,88,富田太阳城,168,34.724688,113.718076,管城回族区富田太阳城兴龙湾大酒店向北100米路西（平安保险公司隔壁）,,,免费提供5个停车位,每满100减12（买单立享）;2-3人餐98.8元，4人餐138元，5-6人餐186元，6-8人餐288元;88代100元;,周一至周日 10:00-14:00 17:00-23:00,0371-55911982,58060,麻、辣、鲜、香的王婆大虾和颇具特色的王婆四大盆，一直被受广大消费者的赞誉，其配方已申报国家专利。企业荣获世界蓝天杯饮食文化创新精品奖，国际风联授权标识，被评为“人间四月天美食节十大餐饮特色名店”和＂消费者喜爱的特色餐饮名店＂。山东电视台、《沂蒙晚报》、《沂蒙生活报》CCTV-7相约栏目等诸多媒体报道了王玉秀女士不平凡的创业历程，并对这种低成本进入，以特色菜带动的大排档加盟连锁经营业态给予了充分肯定,,False,1,56,58060,True,False
京馆涮(大卫城店),41355534,老北京火锅,京馆涮,2880198,http://p0.meituan.net/poi/9ff53bf36a8dbb7fb75e508b54813f8a13421.png,4.8,79,88,丹尼斯·大卫城,166,34.756883,113.66599,金水区二七路与西太康路交叉口西北丹尼斯大卫城F11层,11,"1353,1354,",,双人餐148元，3人餐198元，4人餐268元;88代100元;,周一至周日 11:00-21:30,0371-56157198,57920,,,False,0,298,57920,True,False
韩风源烧烤涮自助餐厅(荥阳店),102367882,综合自助,,0,,4.5,48,39.9,荥阳市人民医院,3253,34.787273,113.392418,荥阳市索河路塔山路交叉口西南角金都花苑2楼,,,,单人午餐48.9元，单人午/晚餐51.9元，双人午餐97.8元，双人午/晚餐103.8元;39.9代59元;,周一至周日 11:30-14:30 18:00-21:30,0371-55899998,57692,,,False,0,482,57692,False,False
丽江龙继斑鱼庄(建设东路店),3311353,鱼火锅,丽江龙继斑鱼庄,27279,http://p0.meituan.net/poi/a63923c43e3577e583c91c98c2a6289617973.png,4.8,67,92,二七区,167,34.75368,113.63862,二七区建设东路与大学北路交叉口向西300米路南,,"1351,1350,",免费提供100个停车位,双人餐159元，4-6人餐299元，6-8人餐439元;92代100元;,周一至周日 10:00-14:00 17:00-21:00,0371-55195789,57284,吃火锅，优选丽江龙继斑鱼庄。该品牌南阳、漯河等多家店生意持续火爆、作为遍布中国60多个城市、拥有100余家分店的特色火锅品牌，丽江龙继斑鱼庄吸引了众多好吃客赶去尝鲜，直夸“这斑鱼口味鲜、吃法巧” 斑鱼，俗名黑鱼、乌鱼等，被誉为“淡水鱼中的贵族”，鱼肉中含有丰富的核酸、维生素Ａ和胶原蛋白等人体必需的元素，肉质鲜美、营养丰富。不食者不知其妙。对于斑鱼来说，如果不擅加工，一般人是做不出这等美味的。该店斑鱼肉质最丰富的部分被丽江来的资深刀工师傅切成0.5毫米～0.8毫米厚的薄片，薄如窗纸，既可生吃又可涮火锅吃，鱼肉鲜嫩爽滑，鱼皮口感筋道。再来一碗鲜美的鱼汤，清香的美味挑逗味蕾，让人更深刻感受斑鱼味道之绝妙。底汤是用鱼头、鱼骨、鱼尾及带刺部分熬制的，汤味鲜美、滋补养生。还有该店的蘸料——姜蓉小米辣，由丽江总部统一配送，经过十余道工序手工剁成，鲜香醇厚、味道绝伦，欢迎到店品尝。,,False,0,167,57284,True,False
铁板诱惑法式铁板烧(大卫城店),42365560,日式铁板烧,,0,,4.3,224,234,丹尼斯·大卫城,166,34.757179,113.666075,金水区二七路150号大卫城12层,12,"1353,1354,",,单人午/晚餐234元起;379代399元;,周一至周日 11:00-14:00 17:30-22:00,0371-55238859/55238869,57012,,,False,0,178,57012,True,False
韩鲜坊烧烤涮自助餐厅(上街店),93789843,综合自助,,0,,3.6,47,39.9,上街区,170,34.798811,113.299622,上街区淮阳路与欢乐金街交叉口向西50米路北（欢乐金街售楼部3楼）,,,,单人午餐43.8元，单人午/晚餐48.9元，双人午餐86.6元，[3]人午餐129.9元;39.9代59元;,周一至周日 10:00-14:00 17:00-22:00,0371-68005688,56656,,,False,0,143,56656,False,False
麦茶德(二七万达店),6699103,快餐,,0,,4.3,4,3.6,二七万达,167,34.718483,113.642448,二七区二七万达金街3号门向北20米路西,1,,,3.6元大果粒鲜橙1杯，3.6元橙人之莓，3.6元银毫茉莉鲜茶，4.5元鲸落，4.5元白桃乌龙，4.5元一大颗柠檬，4.5元蜜橙芒芒，5.2元鲜百香果双响炮，5.3元奥利奥冰淇淋双皮奶，5.3元乌龙冰粉，5.4元雪糯米奶茶，5.4元奶牛三兄弟，5.4元水蜜桃冰淇淋，5.6元青蛙撞奶，6.2元芒果冰雪爆，6.3元杨枝甘露烧仙草，7元超有料牛奶，7.2元超有料双皮奶，7.2元大满贯奶茶，7.2元奶茶烧...;,周一至周日 10:00-22:30  2019-02-01至2019-02-12 休息,13938550988,56594,,,False,1,102,56594,True,False
花甲大咖(曼哈顿店),90296382,海鲜,,0,,5,19,15.8,曼哈顿广场,166,34.761852,113.705512,金水区金水路与未来路交叉口曼哈顿商业街西段（赛博数码广场北门斜对面）,1,"1356,1357,",,单人餐15.8元起;45代50元，85代100元;,周一至周日 09:30-23:30  2019-02-03至2019-02-12 休息,17719801532,55186,,,False,1,153,55186,False,False
咸肉菜饭骨头汤(兰德中心店),118288799,快餐,,0,,5,15,6.9,国贸360,166,34.784135,113.682488,金水区丰产路与花园路交叉口兰德慢生活美食广场三楼,,"4527,",,6.9元素菜汤菜饭，9.9元单人B套餐，11.9元酱汁鸭腿菜饭，11.9元单人C套餐，15.9元单人E套餐，15.9元单人F套餐，22.9元精美双人套餐;11.9代13元;,周一至周日 10:30-20:30,18903822139,55072,,,False,0,227,55072,False,False
摩码咖啡(二七万达店),64159552,咖啡厅,,0,,5,18,7.9,二七万达,167,34.719446,113.642714,二七区二七万达金街167号（1号入口处）,2,,,7.9元单人餐，12.9元奥尔良鸡翅，14.9元黑椒牛柳意面套餐，14.9元蜂蜜柚子茶，14.9元番茄肉酱意面，16.9元卡布奇诺，17.9元金枪鱼蔬菜沙拉，42元鸡尾 酒套餐，59元经典下午茶1，99元啤酒套餐;42代50元，80代100元;,周一至周日 09:00-23:00  2019-02-03至2019-02-10 休息,17703852386/13323716521,55034,,,False,1,54,55034,True,False
土房子鱼锅(商英街店),5033536,鱼火锅,,0,,4.7,48,90,经开区,168,34.72267,113.735429,管城回族区航海路与商英街交叉口向北300米路西（网球中心隔壁）,,,,每满50减5（买单立享）;双人餐98元，4人餐135元，6人餐163元;90代100元;,周一至周日 11:30-14:30 17:30-22:00,0371-55179060,54492,,,False,0,228,54492,True,False
榕意餐厅,6849690,杭帮菜,榕意16号 ,1767800,http://p0.meituan.net/poi/0f8309a093663d59006b007e0c2e000f6659.png,4.4,64,95,郑东新区CBD,166,34.777454,113.723424,金水区商务内环路16-2号,,,免费提供10个停车位,每满100减5（买单立享）;双人餐123元，4人餐236元;95代100元;,周一至周日 11:00-14:30 17:00-23:00,0371-56665559,53906,榕意16号位于郑东新区商务内环路与商务西一街交叉口世贸大厦A座，地理位置优越，交通便利，营业面积达1000余平方米，装修风格简约时尚，古朴典雅，背景音乐曼妙倾心，是一个可以带给你惊喜的悠闲空间。 上有天堂，下有苏杭。榕意16号主打新江南融合菜，在这里你可以品尝到各种江南美食，包括经典江浙菜、杭帮菜、时令蔬菜、海鲜、烧烤及养生汤羹。而且可以放心的是，榕意16号价格还不贵，是您约会、宴请、亲友聚餐的不二之选。,,False,0,31,53906,True,False
醉巴鲜烤鱼(惠济万达店),111858075,烤鱼,,0,,4.5,50,85,北大学城,169,34.86882,113.635577,惠济区文化路与开元路交口向西400米路北，惠济万达5楼,5,,,每满100减15（买单立享）;双人餐99元，2-3人餐139元，4-5人餐179元，5-6人餐218元;85代100元;,周一至周日 11:00-21:30,0371-66681939,53773,,,False,0,482,53773,False,False
皇家烘焙坊,4487686,蛋糕,,0,,4.7,12,0.6,欧凯龙城市广场,170,34.808191,113.316858,上街区济源路金华路交叉口北200米路东（欧凯龙西门口北侧2A030）,,,免费提供5个停车位,0.6元小牛角，1元美味蛋挞，8.9元迷你蛋糕，9.8元皇家烘焙坊慕斯蛋糕，水果蛋糕49元，58元蛋糕4选1，迷糊娃娃洗澡59元，79元蛋糕3选1，托马斯场景蛋糕168元;8.8代10元;,周一至周日 09:30-21:30,15890186974/13140117367,53669,皇家烘焙坊——用心烘焙，让爱与美味均衡，采用进口原料，不含色素和添加剂，口感细腻醇香，甜润地道，富含维生素，钙，铁及其它一些人体必须的微量元素；我们致力于让消费者享受温馨浪漫，甜蜜，平价奢华的蛋糕，用心服务，接待好每一位在我们店消费的客人是我们的使命！皇家烘焙坊期待您光临品尝！,,False,1,84,53669,True,False
汉拿山(郑州中原万达店),1147380,韩式烤肉,汉拿山,25856,http://p0.meituan.net/poi/2c0577def9e51d5dbb131e5d8fcf419a54667.png,3.8,84,95,中原万达,165,34.746401,113.600778,中原区中原路与秦岭路交叉口中原万达广场三楼,3,,有停车位,双人餐108元起，2-3人餐248元;95代100元;,周一至周日 10:00-21:30,0371-86671298/86671297,53464,汉拿山是以经营韩式烤肉为主的连锁企业。自开业十多年来，通过不断努力和改善，得到了广大消费者的认可和支持。目前，“汉拿山”韩式烤肉连锁企业在全国有140多家直营店，分布在北京、上海、天津、深圳、广州、沈阳、西安、大连等40多个城市，深受大众欢迎。,,False,1,95,53464,True,False
老狼大盘鸡(文化路店),2467816,新疆菜,老狼大盘鸡,929289,http://p0.meituan.net/poi/580dc8623c6d7785f527c999dc1d1f4e17075.png,4.1,29,45,瀚海北金,166,34.807071,113.665248,金水区文化路76号（文化路与北环路交叉口向南300米路东）,,,免费停车,2-3人餐66元，2-3人餐66元，4人餐86元，5-6人餐126元;45代50元;,周一至周日 11:00-00:00  2019-02-01至2019-02-12 休息,18703853693/18703850632,53443,老狼大盘鸡饭店源于新疆库尔勒老狼辣子鸡演变而成，采用上等三黄鸡和十多种大料，另配有多种清热去火名贵药材小火煨制而成，味型独特，香辣味浓，麻的过瘾，辣的享受，选料精细，配方讲究，中药配比，不易上火，老少皆宜。,,False,1,49,53443,False,False
速味居黄焖鸡米饭(新世界百货店),40575222,黄焖鸡,,0,,4.8,15,10.9,新世界百货,168,34.753633,113.683182,管城回族区商城路与紫荆山路交叉口裕鸿国际c座楼下（热风对面）,,"4519,1355,4525,1354,",,10.9元黄焖茄子，10.9元黄焖豆腐，14.9元黄焖鸡，14.9元黄焖小酥肉，19.9元黄焖排骨.与黄焖鸡大份(2选1);18.9代20元;,周一至周日 10:30-21:00,0371-53667338/13623806031,52937,,,False,1,101,52937,False,False
呷哺呷哺(郑州锦艺城店),2410229,小火锅,呷哺呷哺,29606,http://p0.meituan.net/poi/e04712a3845316632132ce6cbd1f741539500.png,4,48,48,锦艺城,165,34.762293,113.609981,中原区棉纺西路36号锦艺城购物中心F4层,4,"4664,1347,",,48代60元，88代100元，99代99元，200代216元;,周一至周日 10:30-21:00,0371-85966101,52802,塔库蜀香烤鱼，烤涮两锅通吃，运用了烧烤和川味秘制配料，先把调料腌制入味再烤八九成熟，**浇上川味秘制炒料和鲜汤，使菜品不但具有原料的鲜香还有独特地焦香料香，成菜配酒精炉上桌配有鲜香鱼汤锅，在烤鱼的同时可涮自己喜爱的各式菜品，风味独特，令人神往。,,False,1,119,52802,True,False
百年老妈火锅(中原万达店),5456012,四川火锅,百年老妈火锅,826173,http://p1.meituan.net/poi/f114296fb89b693ffcb18025058d68d864671.png,4.3,57,85,中原万达,165,34.746667,113.602644,中原区中原路与秦岭路交汇处西南角万达金街,1,,,每满100减15（买单立享）;双人餐89元，3-4人餐178元，5-6人餐288元;85代100元;,周一至周日 10:30-22:00,0371-65926111,52746,,,False,0,47,52746,True,False
大塘港式茶餐厅(大上海城店),57424,茶餐厅,大塘港式茶餐厅,384737,,4.4,56,95,大上海城,168,34.756545,113.670088,管城回族区东太康路24号大上海城2楼美食街东区城市舞台东侧（近百货大楼）,2,"1354,1353,",,95代100元;,周一至周日 11:00-21:00,0371-66249199,52563,大塘港式茶餐厅位于繁华地段，看惯了喧嚣的城市，静静的品尝港式美味也是一种享受。优质的服务，精致的装修，还有店家的拿手好菜，赢得了众多消费者的信赖。愈美味愈留恋，闲暇时，不妨到这个美食的小港湾吧。,,False,1,79,52563,True,False
韩风源自助烤肉(公园茂店),162099457,烤肉自助,韩风源烧烤涮自助餐厅,1146928,http://p1.meituan.net/poi/d563c2fb0ed75275713142adac9ff85215711.png,4.8,59,1,高新区,7397,34.820728,113.556629,高新区雪松路与迎春街交叉口朗悦公园茂中心广场二楼,2,,,单人午/晚餐1元，单人午/晚餐56元，单人午餐59.9元，单人晚餐66.9元;39.9代69元;,周一至周日 11:00-14:30 17:30-21:30,0371-55365589/17319715908,52304,,,False,0,1010,52304,False,False
镇江鸭血粉丝汤,42347284,粉丝汤,,0,,4.4,12,7.2,星月时代广场,3252,34.754728,112.984112,巩义市新华路星月时代广场西门（苏宁电器旁）,,,停车位收费标准：停车费不详,每满15减2（买单立享）;7.2元小份鸭血粉丝汤，9.2元大份鸭血粉丝汤，12.5元鸭血粉丝汤单人餐，13.9元鸭腿粉丝汤单人餐，24.5元美味双人餐;13.5代15元;,周一至周日 08:30-22:00,15179423866,51674,,,False,1,184,51674,False,False
56°cake,2488702,蛋糕,56cake,36788,http://p1.meituan.net/poi/682113e9e70ef55764ac6dcbce9d55dd27922.png,4.2,62,23,东建材,166,34.755421,113.725831,金水区建业路建业城市花园99号楼南1单元2层B五号,,,免费停车,23元唯美花盆蛋糕，29元盒子蛋糕，海盐芝士奶盖118元，爆浆蛋糕118元，缤纷下午茶组合138元，芒果爱情138元，芯花149元，198元蛋糕2选1，198元蛋糕5选1，缤纷下午茶组合198元;42.5代50元;,周一至周日 08:00-21:00,400-991-5656,51469,"56°cake是一家高速发展的、专业从事高端食品研发、生产、销售、服务的企业。56°cake坚持选用世界品牌食材，绝不使用植脂奶油、代可可脂、人工色素和添加剂；突破并改变着传统食品行业的经营模式，采取中央工厂统一生产、网络订购的电子商务以及传统大客户直销相结合的无店铺销售模式以及即时的点对点冷链配送服务。 这四大创新举措，大程度地保证了产品、服务的高品质，得到了的客户的充分肯定，同时引领着蛋糕行业进入了""品质品位时代""。 56°cake将以""坚持打造高品质、高品位的安全食品""为目标，努力为广大消费者提供更安全、更健康、更优质的系列产品及服务。 56°cake以高品质、高安全、高服务来要求并以大程度保证客户们得到蛋糕产品时的新鲜程度， 2009年成立至今备受业界、市场消费群体的认可与肯定。 56°cake现已开通深圳、郑州、洛阳、开封市配送网络，更多城市正在进行中。",,False,1,5,51469,True,False
三帝瓦罐面(华润万象城店),95066721,面条,,0,,5,12,8.9,万象城,167,34.754899,113.661375,二七区民主路10号华润万象城6层,6,"1353,",,"8.9元金针菇,蔬菜瓦罐面二选一，9.9元莲夹/鱼豆腐，10.9元蟹味排瓦罐面，12.9元香菇鸡丁瓦罐菜，莲荚瓦罐菜二选一;12.8代15元;",周一至周日 11:00-21:30,17337774157,51378,,,False,0,0,51378,False,False
